,MC,MRP,SP,DIS
5511,109.87713148422532,1643.204082,1643.204082,0.0
5782,178.37816374622105,1395.0,1391.044261,3.955738999999994
5924,786.6432114659066,1161.719888,675.0006443,486.7192437000001
5930,783.647518629859,864.8415842,446.5247525,418.3168317000001
5995,250.96372549403097,1400.0,1400.0,0.0
6064,58.4881651338464,700.0,700.0,0.0
6077,412.2274202936025,1940.0,1938.122581,1.877418999999918
6167,135.64629270875815,2111.190476,2108.0,3.190476000000217
6305,744.1094558956424,1993.555556,1608.416389,385.139167
6395,272.28571582425457,1680.584216,1137.066333,543.517883
6429,414.2782055114845,1941.0,1941.0,0.0
6469,763.5826881233356,2812.660377,1511.056604,1301.603773
6502,246.6932830838975,1490.0,1485.861111,4.138889000000063
6670,147.71135238982112,1580.383886,1563.744076,16.639810000000125
6680,338.5114610071951,447.0,0.04,446.96
6730,386.2285178351962,1127.007519,1127.007519,0.0
6894,774.2322549748849,1377.647059,591.4370588,786.2100001999999
6909,135.60287839654328,1600.0,1591.377899,8.62210099999993
7082,346.85221407114994,156.891,1.015,155.876
7107,361.9495186131159,1103.863719,522.3491157,581.5146033
7197,188.2557001345699,1529.751724,1529.563218,0.1885059999999612
7234,413.7950473945536,1330.0,1315.115,14.884999999999993
7236,162.25486547755438,2925.0,2925.0,0.0
7438,472.2159610060972,1659.005989,1657.973541,1.0324479999999312
7703,748.2171740397847,1715.0,1715.0,0.0
7899,429.0207187447426,2152.962617,2150.529626,2.432991000000129
7985,746.0746705676768,2737.294118,2303.753824,433.5402939999999
8119,247.26028834645487,1449.153846,1400.551538,48.602308
8124,205.8342280707501,700.0,700.0,0.0
8182,186.3075243322183,1486.0,1474.298372,11.701628000000028
8238,389.0641001144758,525.0,0.54,524.46
8284,393.68090274074274,99.99,0.011538462,99.978461538
8356,103.60630434413126,854.0,0.09,853.91
8467,612.0195313324228,933.3333333,930.0958333,3.237500000000068
8474,355.70250674718454,849.0,591.2348,257.76520000000005
8566,362.6631091506809,2038.957692,1736.820769,302.136923
8705,746.8541120877255,2547.5,2423.868095,123.6319050000002
8743,763.6863812126766,2462.066667,1845.315556,616.751111
8870,396.7194541939973,2239.6,1573.341429,666.2585709999998
8966,195.4487968105413,1483.598291,1481.23906,2.359230999999909
9285,71.76213006613347,1080.0,1080.0,0.0
9453,436.80907688141,2280.777778,2271.531111,9.246667000000343
9536,405.6965684300877,1290.0,1290.0,0.0
9621,385.54913751092937,1250.0,1212.5,37.5
9758,203.84059819548452,1543.0,1530.839333,12.160667000000103
9851,210.97386924920824,1844.152542,1842.64322,1.509322000000111
10330,238.5511304084153,1462.230769,1396.841154,65.38961500000005
10542,58.44721904922858,3016.073446,3000.536723,15.53672299999971
10695,715.4827004349877,2413.404984,946.1233645,1467.2816194999998
10744,716.8640803035906,866.4279661,416.7035593,449.72440680000005
10785,713.576199980196,1800.0,899.0,901.0
10918,714.5434080255988,1199.0,125.9,1073.1
10922,381.03675329049423,1072.87296,620.808951,452.064009
11038,292.15519176489653,700.0,7.84,692.16
11340,133.74048445749088,1325.0,1.485714286,1323.514285714
11516,382.2782214089356,1160.0,1160.0,0.0
11645,65.19838761390196,3152.02381,2750.901361,401.122449
11657,149.72700633626226,1169.0,1152.698772,16.301228000000037
11662,388.412339125534,1160.0,1160.0,0.0
11900,291.1165420376892,1377.649326,1121.960501,255.68882499999995
11941,401.81688593927805,693.9506173,653.5088889,40.44172839999999
12137,136.73358390204308,600.0,600.0,0.0
12144,256.4518069924868,1089.285714,1089.285714,0.0
12185,88.7663555841137,1572.0,1572.0,0.0
12414,212.3756324680575,1382.0,1379.883043,2.1169569999999567
12765,161.9697657843394,1600.0,1598.172232,1.8277680000001053
12872,264.80622100905,1712.0,1712.0,0.0
13486,377.0233029128138,600.0,600.0,0.0
13706,454.0569308251394,1762.860223,1758.341782,4.518440999999939
13710,91.91582150613212,1171.666667,1171.666667,0.0
14006,160.7020805032103,641.0,641.0,0.0
14067,396.8324157640204,2250.0,1671.58913,578.4108699999999
14284,90.18344442794113,1663.846154,1663.846154,0.0
14342,717.240988961169,3113.863014,1774.513493,1339.349521
14449,256.0150318990673,1555.546147,1538.585271,16.9608760000001
14538,396.0848350363643,1922.0,1912.604242,9.395757999999889
14689,372.6615730769859,700.0,643.8956044,56.104395599999975
14899,72.43144035687874,448.6861314,36.50510949,412.18102191
14955,452.6746095916109,1659.007937,1659.007937,0.0
15221,400.3471070543291,399.2,86.352,312.848
15390,372.8961252715433,1090.0,1.14,1088.86
15549,376.01967008342,650.0,0.021666667,649.978333333
15643,410.3134826657056,866.9210526,866.9210526,0.0
15688,710.759181203793,2256.258065,1908.355806,347.902259
15923,423.7325806597517,2060.549828,601.7044674,1458.8453606000005
15933,254.1074367879179,1471.0,1471.0,0.0
15944,256.99249946091703,1527.540541,1527.540541,0.0
16031,140.11509378541416,2813.978692,2813.163115,0.8155770000003031
16236,127.98387907769316,1537.993827,1.728395062,1536.265431938
16287,193.02354409949865,1858.60274,1856.052055,2.5506849999999304
16473,723.3666197611594,4181.737705,2549.0,1632.7377049999996
16523,259.4967130316429,1045.0,164.59,880.41
16671,729.4789579419147,1648.158228,669.8224051,978.3358229
17215,70.87447307228261,3016.095041,3012.975207,3.1198340000000826
17319,730.1087321143965,4765.472527,2455.07044,2310.402087
17520,739.1745432493195,740.8208955,379.1641791,361.6567164
17983,732.6710363787098,2052.766667,1642.812333,409.9543339999998
18189,278.65598187361707,1141.875,1141.875,0.0
18415,139.34371334820742,2100.0,2097.55814,2.441859999999906
18442,164.57935062181178,1164.606423,1155.123846,9.482576999999992
18593,194.81033138639168,1744.684211,1743.993421,0.6907900000001064
18752,170.3880294603123,438.8888889,191.5144444,247.3744445
18773,129.95808841637418,1538.000284,1.720124894,1536.280159106
18957,427.7051341049988,982.0,982.0,0.0
18958,735.3529427676748,498.725,498.725,0.0
