Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
1064,117.90690865789054,492.0,883177.46,42054.59,841122.87,936469.0,1903.392276,1795.076138,108.31613800000014,5.69,1,2,1,0,0
11524,74.3368571362613,87.0,4955.25,0.0,4955.25,4959.0,57.0,56.95689655,0.04310344999999671,0.08,5,3,0,0,0
95,89.47034137213464,21.0,740.0,79.28,660.72,740.0,35.23809524,35.23809524,0.0,0.0,10,1,0,0,1
2365,84.6636765511675,82.0,6078.75,289.32,5789.43,6150.0,75.0,74.13109756,0.8689024399999994,1.16,4,2,0,0,1
1659,117.90690865789054,85.0,21758.72,1035.85,20722.870000000003,24434.0,287.4588235,255.9849412,31.473882299999985,10.95,3,2,0,1,0
1659,117.90690865789054,683.0,13270.0,1421.51,11848.49,28269.99,41.39090776,19.42898975,21.961918009999998,53.06,2,2,1,0,0
2024,67.9746805938601,128.0,10503.16,1601.66,8901.5,14935.0,116.6796875,82.0559375,34.62375,29.67,6,2,1,0,0
263,117.90690865789054,24.0,1129.85,53.62,1076.23,1416.0,59.0,47.07708333,11.92291667,20.21,1,1,0,1,0
757,83.06532932894527,416.0,47453.42,2258.17,45195.25,48535.0,116.6706731,114.0707212,2.5999519000000078,2.23,2,2,1,0,0
4778,117.90690865789054,284.115,28728.54,0.0,28728.54,28872.83,101.6237439,101.1158862,0.5078576999999882,0.5,6,2,0,1,0
11524,719.0719237167004,2.55,48.45,0.0,48.45,48.45,19.0,19.0,0.0,0.0,5,3,0,0,1
405,117.90690865789054,2162.0,784754.05,84075.67,700678.38,784849.0,363.019889,362.9759713,0.043917699999951765,0.01,5,3,0,0,1
4778,117.90690865789054,0.2,3.57,0.0,3.57,3.76,18.8,17.85,0.9499999999999993,5.05,3,1,0,1,0
4778,117.90690865789054,72.098,2162.94,0.0,2162.94,2162.94,30.0,30.0,0.0,0.0,10,1,0,0,1
11524,117.90690865789054,355.0,445490.71,21211.34,424279.37,450103.0,1267.895775,1254.903408,12.992367000000058,1.02,2,2,0,0,1
11524,117.90690865789054,71.0,3842.43,182.82,3659.6099999999997,5594.5,78.79577465,54.11873239,24.67704226,31.32,3,1,0,0,1
944,95.626694291597,816.0,88865.64,4226.73,84638.91,115470.0,141.5073529,108.9039706,32.60338230000001,23.04,6,3,0,0,1
11524,117.90690865789054,50.0,5027.34,239.06,4788.28,5036.0,100.72,100.5468,0.17319999999999425,0.17,9,3,0,0,0
11524,117.90690865789054,83.0,5792.67,275.34,5517.33,6116.0,73.68674699,69.79120482,3.895542169999999,5.29,1,2,0,0,1
263,117.90690865789054,206.0,62207.63,2961.86,59245.77,63848.0,309.9417476,301.9787864,7.962961199999995,2.57,11,1,0,1,0
