column_list,num_features,model_name,best_params,clustering_indicator,train_rmse,val_rmse,train_mae,val_mae,train_val_rmse,test_rmse,train_val_mae,test_mae
['MRP'],1,HuberRegressor,"{'alpha': 0.006432376723685197, 'epsilon': 1.3619614103761772, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.16713822090423,36.522339554881135,12.5141772122137,12.516214689374939,38.33671614325195,28.348580725243337,12.514349388043446,12.454959324277233
['MRP'],1,HuberRegressor,"{'alpha': 0.031258826794840724, 'epsilon': 1.7063882434880469, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.149199679318684,36.503623961560784,12.518124026109913,12.520388032798767,38.31887828792053,28.327585039995093,12.518383909164095,12.45818952578968
['MRP'],1,HuberRegressor,"{'alpha': 0.0050707811308788805, 'epsilon': 1.6644526148165344, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.15071453254005,36.50522117126146,12.517463540503924,12.519710886965726,38.32040728454732,28.32937570862134,12.517725909026586,12.457626945123899
['MRP'],1,HuberRegressor,"{'alpha': 0.015887343510640365, 'epsilon': 1.0674780461330395, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.18235696014725,36.53827429497474,12.513363274989803,12.515412166032553,38.35184734926078,28.365401314406014,12.513504684022951,12.454255914200822
['MRP'],1,HuberRegressor,"{'alpha': 0.0888674179942597, 'epsilon': 1.468562893418035, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.160399346541666,36.51536408720975,12.514779888097504,12.516957349341627,38.3299355706611,28.340616111973393,12.514975221861071,12.4554209841607
['MRP'],1,HuberRegressor,"{'alpha': 0.009569650048233593, 'epsilon': 1.9558367292220238, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14126185872689,36.49528561934965,12.5221410667658,12.524390276607438,38.310992546016784,28.318607681246352,12.522383385597312,12.461747329825698
['MRP'],1,HuberRegressor,"{'alpha': 0.03474212646011695, 'epsilon': 1.507428972319531, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.15798401494489,36.512838454678544,12.515200117681104,12.517399893697782,38.32757090597026,28.337831906590726,12.515429753926892,12.455783941881693
['MRP'],1,HuberRegressor,"{'alpha': 0.09547333376734245, 'epsilon': 1.075322070119979, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.182033184515646,36.53793278892795,12.51350316634381,12.515524476658836,38.351410612655926,28.365033153552954,12.513647345181912,12.454459725589695
['MRP'],1,HuberRegressor,"{'alpha': 0.0477267278634866, 'epsilon': 1.9155586856236388, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14227725178689,36.49633933342078,12.521538015281683,12.52381269223427,38.31197504225278,28.319716044209294,12.52179069372461,12.461226964589034
['MRP'],1,HuberRegressor,"{'alpha': 0.07218898525532355, 'epsilon': 1.9592579413082403, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14136817236512,36.49539442494459,12.52208382389789,12.524329760576657,38.311054666689195,28.318675774377017,12.522351408523372,12.46171764524582
